,Token_ID,Year,Corpora,Source,Context,,,,,,,,,
1,7,1992,SPOK,Ind_Limbaugh,"  (On-screen: -Home-Vi LIMBAUGH: However, we need to conduct a real short, little clinic here because many of you people are sending in viewer videos which",,,,,,,,,T
2,11,2014,MAG,SportsIll,"  diligence has brought out Gordon' s innate gifts and elevated him to the Heisman short list. As the Nebraska romp showed, he is a three-dimensional runner, with",,,,,,,,,O
3,12,2007,SPOK,CBS_Early,"  . And so they're strategically placed right here in the front row, nice short walk up to the stage. You can catch the Academy of Country Music Awards",,,,,,,,,B
4,15,1992,FIC,Bk:Jazz,"  about. You're sure they're looking for us? "" He jerked a short nod. "" I could expect a single party out hunting. But two?",,,,,,,,,B
5,34,2002,FIC,Bk:TeaTerrorists,"  was as if he were walking on eggs. He was clean shaven, with short, dark hair. His dress was a cross between military and business casual.",,,,,,,,,S
6,59,2003,MAG,Skiing,": 115/78/105 6 K2 AXIS XT $750 The 68 mm-waisted XT is ideal for cranking short turns, but thanks to a metal laminate and K2's Monic vibration damping module",,,,,,,,,B
7,65,1991,SPOK,CNN_Novak,"  , with a comment after these messages. Commercial break NOVAK: Rowlie, how short is a short war? Richard Perle says it could be between six days and",,,,,,,,,T
8,67,2008,FIC,SouthwestRev,"  Anthony's words, "" an envious fuck, who's only got one out-of-print short story collection to his name for all his years of literary insider status, """,,,,,,,,,B
9,72,1996,FIC,Bk:DeepEndOcean,"  Cappadora command center in the second-floor conference room (everyone waved), up the short flight, turn, into Candy's office. Candy. Why, Beth wondered",,,,,,,,,B
10,87,1999,MAG,PCWorld,"  modem as the manual implies. That's when you appreciate long support hours and short wait times before getting through to a technician. Unfortunately, that isn't always",,,,,,,,,T
11,95,2004,FIC,KenyonRev,"  it's in her own walls and she's on her feet, down the short hall, past the row of Cedric's school pictures, past the State Farm",,,,,,,,,S
12,110,1993,MAG,AmHeritage,  the direct control of the man at the center in the Oval Office. # Short conversations and long hours substituted for Ike's inflexible organization. The best way to,,,,,,,,,T
13,119,2015,MAG,SatEvenPost,"  the brilliant and beautiful ex-wife of her fianc, John. # BIO: First short story published by national consumer publication. #",,,,,,,,,B
14,130,1992,MAG,PopScience,"in 1991. And it is not just in contemporary international comparisons that we fall short, but also in comparison with what earlier American students knew at the same age",,,,,,,,,O
15,139,1990,MAG,NatlReview,"  of The Coming Defeat of Communism: that Communism would be defeated in a surprisingly short time if his advice was followed, but not otherwise. And his advice had",,,,,,,,,T
16,145,1993,MAG,People,"frequently both on and off the court. Ashe, whose competitive career was cut short following a heart attack in 1979, was a veteran of adversity. "" Living",,,,,,,,,T
17,171,1993,MAG,Ebony,"  inactivity. To prevent such illnesses, he advises families to begin by "" taking short walks "" together. "" That kind of thing would instill the notion that parents",,,,,,,,,B
18,197,1996,MAG,USCatholic,"  "" A fountain of opportunity It is possible to work in less-thanadequate positions for a short time, if you know there's something better down the road. That's",,,,,,,,,T
19,199,1993,MAG,ScienceNews,"  . Though the device still functions, researchers can't use its highest resolution at short ultraviolet wavelengths. # Altogether, then, four astronauts aboard the space shuttle Endeavour",,,,,,,,,S
20,204,2010,FIC,Bk:GuideBoulevard,"  you are ready to move on, the Museum of Sultry Looks is just a short jaunt away from the Museum of Failed Birth Control, an agreeable pit stop before",,,,,,,,,B
21,224,1990,FIC,Bk:ThoseWhoHunt,"  What? How do I... "" I stammered, then pulled up short. She perceived my confusion, and it gave her courage. "" You want",,,,,,,,,S
22,229,1996,SPOK,ABC_20/20,"  talk about a form of discrimination, one that's rarely talked about, but short men know all about it. They have everything to offer but height. Does",,,,,,,,,S
23,232,2003,MAG,NatlReview,"  Morocco, sometimes in Baghdad, at other times in Kandahar or Istanbul. In short, we are in a struggle for our very values and way of life,",,,,,,,,,T
24,244,2015,MAG,NewRepublic,"two of his friends: Abdurramadan, a thin 19-year-old wearing a parka and a short beard of wispy scruff, and Ahmed, a slightly cherubic 20-year-old with a flatbrimmed",,,,,,,,,S
25,248,1999,SPOK,ABC_NewsNow,"  Ms-ROZEN:... like three years later. It's based on John Updyke's short stories. A really nice little movie. (Clip-shown-from- "" S Ms-ROZEN",,,,,,,,,B
26,254,2010,SPOK,Fox_Hannity,"fired up for good reason. And Greta, we'll be watching in 18 short minutes from right now. Let not your heart be troubled. Our great,",,,,,,,,,T
27,255,2005,FIC,Mov:BatmanBegins,"  WALL, HIMALAYAN MONASTERY -- DAWN # Wayne and Ducard cling to the wall just short of the roof, eyes LOCKED. Both are in AGONY, sweat-drenched, STRAINING",,,,,,,,,S
28,258,2007,MAG,GolfMag,"  to chip and pitch IF YOU'RE searching for more touch and accuracy on your short chips and pitches, look no further than the index finger and thumb of your",,,,,,,,,S
29,282,2009,SPOK,Fox_News,", Jon Scott, I want to ask you again, your reaction to that short and simple statement that 150 passengers all off. SCOTT: Absolutely unbelievable to me",,,,,,,,,T
30,299,1997,FIC,SouthwestRev,"  lead. "" Where's the hearse? "" I asked the driver, a short brown man who wore something like a bus driver's cap and jacket. #",,,,,,,,,S
31,314,1998,MAG,SportingNews,"forwardgoing opportunities was the 8,000pound gorilla that Fox Sports Net has become in two very short years. Where once ESPN was an impenetrable national cable outlet for sports programming,",,,,,,,,,T
32,316,2009,SPOK,ABC_20/20,minutes. JIM-AVILA-1-ABC-N# (Voiceover) And what about Ciavarella's claim that his trials were so short because he looked at the intake people's reports first and followed their lead?,,,,,,,,,T
33,322,2017,SPOK,Fox: Your World: Cavuto,"  Yes, it is a bit of a cacophony of chaos, because tempers are short. Just saw an accident up there. People are cutting in line. People",,,,,,,,,T
34,351,2013,SPOK,CBS: News Sunday Morning,"  SERENA-ALTSCHUL# Two-month-old Harrison Karlan has been in and out of intensive care all of his short life. Born in kidney failure, he came here to get life-sustaining treatment.",,,,,,,,,T
35,368,2010,FIC,Bk:EdgeApocalypse,"  right turbojet belched smoke and flames. "" The electrical surge must have caused a short. "" "" Can you shut it down? "" "" Don't think so",,,,,,,,,O
36,372,2002,FIC,HarpersMag,"  of them had small rucksacks in their laps, the kind you'd use for short hikes into the mountains. It was amazing how much they looked alike. Like",,,,,,,,,B
37,375,2017,FIC,Bk:KillerGourmet,"  a pair of wannabe gangbangers in their late teens-one tall and thin, the other short and squat. The tall one wore a distinctive black stocking cap with a red-and-white",,,,,,,,,S
