"","Token_ID","Year","Corpora","Source","Context","Code","tokenType"
"1",1,2001,"FIC","Bk:StrangerThings","  she the tall blonde with the nice ass, or the short blonde with the short hair who kept her mouth a little open, like she was smiling all the","S","short"
"2",2,2009,"MAG","USAToday","  Fuller's first two surgeries using fixed pressure shunts improved his condition dramatically in the short temi, but most of his symptoms eventually came back. Improvements in shunt technology","T","short"
"3",3,1992,"FIC","ChicagoRev","  in erecting tents and pavilions; people also used them to build houses. The short sticks were good for lances and spears, which were later used to beat and","S","short"
"4",4,2013,"MAG","GolfMag","  that he can swing faster (to generate maximum spin) and still hit a short distance. By holding onto the thinnest part of the club, he also makes","S","short"
"5",5,2016,"FIC","FantasySciFi","  , Morrie leftthe car and followed him to the tree line, but then stopped short. "" Even you felt something in there? "" he queried. # "" Yeah","O","short"
"6",6,2017,"SPOK","NPR: Fresh Air","  The Breaking Point, "" is in the current issue. After we take a short break, our jazz critic Kevin Whitehead will have an appreciation of pianist and composer","T","short"
"7",7,1992,"SPOK","Ind_Limbaugh","  (On-screen: -Home-Vi LIMBAUGH: However, we need to conduct a real short, little clinic here because many of you people are sending in viewer videos which","U","short"
"8",8,2006,"SPOK","MSNBC_Olbermann","  been charged. And from the nexus of politics and terror, it is a short trip to the nexus of politics and Tom Cruise, the Associated Press finding a","O","short"
"9",9,2000,"SPOK","NPR_TalkNation","  n't afford it. WILLIAMS: All right. We're going to take a short break right now. You're listening to TALK OF THE NATION. I'm","T","short"
"10",10,1992,"MAG","Skiing","  , tight short turns -- your skis popping, cutting, rebounding into the next short arc? Or do you let go, floating and flowing over the terrain in","B","short"
"11",11,2014,"MAG","SportsIll","  diligence has brought out Gordon' s innate gifts and elevated him to the Heisman short list. As the Nebraska romp showed, he is a three-dimensional runner, with","O","short"
"12",12,2007,"SPOK","CBS_Early","  . And so they're strategically placed right here in the front row, nice short walk up to the stage. You can catch the Academy of Country Music Awards","B","short"
"13",13,2006,"FIC","ChicagoRev","  raw material, so to speak, risky. Anyway, I'll keep it short. The contact who was supposed to mediate with this mountain tribe died while we","T","short"
"14",14,2001,"SPOK","Fox_Hume","pay to get his name on the ballot this year after falling about 500 signatures short of the 3,000 required to have the state filing fee waived. Political observers are","O","short"
"15",15,1992,"FIC","Bk:Jazz","  about. You're sure they're looking for us? "" He jerked a short nod. "" I could expect a single party out hunting. But two?","T","short"
"16",16,2010,"MAG","RollingStone","  and I'm sufficiently offended to consider it worth taking up your time "" In short order, the waiter is replaced, the omelet arrives, Brand digs in,","T","short"
"17",17,2001,"FIC","Analog","  emotional bond does. The best explanation for your species "" emotional ineptness, a short nursing period seems to be. "" "" Well, when we're born,","S","short"
