|word, distance, targetword|
broad,0.7244603633880615,wide
narrow,0.7178937196731567,wide
wider,0.6010826826095581,wide
thick,0.5819987058639526,wide
glassy,0.5752133131027222,wide
small,0.5489126443862915,wide
large,0.5471137762069702,wide
vertical,0.5390598177909851,wide
curved,0.5292568802833557,wide
goggle,0.5216092467308044,wide
flat,0.5184319019317627,wide
thickly,0.5164832472801208,wide
taut,0.5152875185012817,wide
thin,0.5139980316162109,wide
bleary,0.5132302045822144,wide
sparse,0.5119097232818604,wide
toothy,0.5041854381561279,wide
tall,0.4986228942871094,wide
width,0.495907723903656,wide
widest,0.4958428740501404,wide
huge,0.49437394738197327,wide
segmented,0.4935232996940613,wide
open,0.4886205494403839,wide
slender,0.4882897138595581,wide
featureless,0.48695069551467896,wide
curving,0.48588475584983826,wide
shallow,0.4854743480682373,wide
symmetrical,0.48408302664756775,wide
tight,0.48359477519989014,wide
gaping,0.48331689834594727,wide
circular,0.48313450813293457,wide
silvery,0.48208823800086975,wide
bright,0.4778122901916504,wide
tiny,0.4729138910770416,wide
across,0.47006261348724365,wide
sharp,0.46973133087158203,wide
horizontal,0.4667723476886749,wide
dense,0.466721773147583,wide
triangular,0.4662456810474396,wide
deep,0.4637625217437744,wide
slits,0.46316128969192505,wide
webbed,0.4626913070678711,wide
dark,0.46235764026641846,wide
lipless,0.46143633127212524,wide
longish,0.4614134728908539,wide
straight,0.46036940813064575,wide
toothed,0.45961612462997437,wide
vast,0.4576469957828522,wide
widening,0.4571777284145355,wide
narrowing,0.4562062621116638,wide
stubby,0.45473217964172363,wide
slitted,0.45208099484443665,wide
googly,0.45108434557914734,wide
tubular,0.45043277740478516,wide
yawning,0.44860056042671204,wide
watery,0.4479793608188629,wide
beady,0.4474243223667145,wide
jagged,0.44720369577407837,wide
parfocal,0.44704803824424744,wide
squinty,0.44613152742385864,wide
smallish,0.44569557905197144,wide
unseeing,0.4455130100250244,wide
sinewy,0.4451088607311249,wide
widened,0.4447695016860962,wide
roomy,0.4439571499824524,wide
nimble,0.44280675053596497,wide
sunken,0.4409236013889313,wide
lopsided,0.4407702386379242,wide
starry,0.4407378137111664,wide
bulbous,0.4401469826698303,wide
widen,0.43944302201271057,wide
feathery,0.4391166865825653,wide
interlaced,0.4391164779663086,wide
wingspan,0.4378320574760437,wide
graceful,0.4374805688858032,wide
stiff,0.43535488843917847,wide
patchy,0.4347006678581238,wide
concave,0.4345416724681854,wide
length,0.4342479109764099,wide
arched,0.434174120426178,wide
translucent,0.43336302042007446,wide
ladron,0.4330398738384247,wide
rectangular,0.4318939745426178,wide
razored,0.4317095875740051,wide
gigantic,0.4313774108886719,wide
sinuous,0.43092864751815796,wide
lush,0.4301072657108307,wide
sloping,0.4299374222755432,wide
parrotlike,0.4297310411930084,wide
above,0.429592102766037,wide
transparent,0.42913514375686646,wide
ridged,0.4289025664329529,wide
portaball,0.4285299479961395,wide
shaped,0.4281828701496124,wide
semicircular,0.4280283451080322,wide
treeless,0.42792826890945435,wide
holobyte,0.42777103185653687,wide
ringed,0.42734265327453613,wide
angled,0.42712342739105225,wide
widths,0.4270420968532562,wide
