"","word","spacetime"
"1","close","both"
"2","close","both"
"3","close","both"
"4","dense","both"
"5","endless","both"
"6","entire","both"
"7","extended","both"
"8","far","both"
"9","far","both"
"10","few","both"
"11","few","both"
"12","full","both"
"13","full","both"
"14","half","both"
"15","half","both"
"16","interglacial","both"
"17","iong","both"
"18","length","both"
"19","length","both"
"20","length","both"
"21","lengthened","both"
"22","lengthened","both"
"23","lengthens","both"
"24","lengthens","both"
"25","lengthy","both"
"26","lengthy","both"
"27","limited","both"
"28","limited","both"
"29","limits","both"
"30","longer","both"
"31","longer","both"
"32","longest","both"
"33","longest","both"
"34","longish","both"
"35","longish","both"
"36","longish","both"
"37","many","both"
"38","minimal","both"
"39","motionless","both"
"40","much","both"
"41","much","both"
"42","nap","both"
"43","narrow","both"
"44","near","both"
"45","nearly","both"
"46","nears","both"
"47","plentiful","both"
"48","prolonged","both"
"49","prolonged","both"
"50","repetitiveness","both"
"51","same","both"
"52","scarce","both"
"53","second","both"
"54","short","both"
"55","shortened","both"
"56","shortened","both"
"57","shorter","both"
"58","shorter","both"
"59","shortest","both"
"60","shortest","both"
"61","sparse","both"
"62","sparse","both"
"63","steady","both"
"64","tight","both"
"65","wanes","both"
"66","wavy","both"
"67","whole","both"
"68","ahead","both"
"69","apart","both"
"70","choppy","both"
"71","continuous","both"
"72","diminishing","both"
"73","double","both"
"74","first","both"
"75","free","both"
"76","halting","both"
"77","increments","both"
"78","irregular","both"
"79","lengthen","both"
"80","lengthening","both"
"81","linear","both"
"82","long","both"
"83","long","both"
"84","mid","both"
"85","scant","both"
"86","shorten","both"
"87","shortening","both"
"88","spotty","both"
"89","succinct","both"
"90","supershort","both"
"91","third","both"
"92","warp","both"
"93","before","both"
"94","dwindle","both"
"95","subside","both"
"96","then","both"
"97","across","both"
"98","open","both"
"99","segmented","both"
"100","absconded","both"
"101","ashore","both"
"102","backup","both"
"103","benchmark","both"
"104","carry","both"
"105","channeler","both"
"106","climbers","both"
"107","compressed","both"
"108","continuum","both"
"109","contorting","both"
"110","convey","both"
"111","derailment","both"
"112","disseminating","both"
"113","drift","both"
"114","earthward","both"
"115","emanates","both"
"116","emanating","both"
"117","entering","both"
"118","entrain","both"
"119","erode","both"
"120","footrace","both"
"121","frequented","both"
"122","halted","both"
"123","hoarded","both"
"124","impalement","both"
"125","impeded","both"
"126","interrupt","both"
"127","interrupting","both"
"128","interspersed","both"
"129","leaped","both"
"130","meridian","both"
"131","movements","both"
"132","outruns","both"
"133","passage","both"
"134","pathfinder","both"
"135","pirouette","both"
"136","plummeted","both"
"137","posterior","both"
"138","pouncing","both"
"139","proliferates","both"
"140","propelling","both"
"141","pulling","both"
"142","recoiled","both"
"143","reenactment","both"
"144","regrow","both"
"145","repetitive","both"
"146","roams","both"
"147","separating","both"
"148","springing","both"
"149","stabilizers","both"
"150","subunit","both"
"151","swim","both"
"152","terminating","both"
"153","traipses","both"
"154","triathlon","both"
"155","triathlons","both"
"156","ultraefficient","both"
"157","ultramarathons","both"
"158","undulations","both"
"159","walked","both"
"160","big","space"
"161","big","space"
"162","broad","space"
"163","broad","space"
"164","broad","space"
"165","bumpy","space"
"166","bumpy","space"
"167","curly","space"
"168","curly","space"
"169","deep","space"
"170","deep","space"
"171","deep","space"
"172","high","space"
"173","high","space"
"174","little","space"
"175","loosely","space"
"176","loosely","space"
"177","low","space"
"178","low","space"
"179","narrow","space"
"180","narrow","space"
"181","shallow","space"
"182","shallow","space"
"183","shallow","space"
"184","shallowly","space"
"185","shallowly","space"
"186","skinny","space"
"187","skinny","space"
"188","slim","space"
"189","slim","space"
"190","small","space"
"191","small","space"
"192","small","space"
"193","spindly","space"
"194","spindly","space"
"195","steep","space"
"196","steep","space"
"197","straight","space"
"198","straight","space"
"199","straight","space"
"200","stubby","space"
"201","stubby","space"
"202","stubby","space"
"203","tall","space"
"204","tall","space"
"205","tall","space"
"206","thick","space"
"207","thick","space"
"208","thick","space"
"209","thickly","space"
"210","thickly","space"
"211","thin","space"
"212","thin","space"
"213","thin","space"
"214","tight","space"
"215","tight","space"
"216","tightly","space"
"217","tombed","space"
"218","vacuous","space"
"219","wavy","space"
"220","wide","space"
"221","wide","space"
"222","bulky","space"
"223","bumpier","space"
"224","hemlines","space"
"225","lank","space"
"226","loose","space"
"227","puny","space"
"228","shapely","space"
"229","slender","space"
"230","slender","space"
"231","slimming","space"
"232","spacefield","space"
"233","straightest","space"
"234","straightline","space"
"235","striate","space"
"236","stumpy","space"
"237","vertical","space"
"238","vertical","space"
"239","above","space"
"240","angled","space"
"241","arched","space"
"242","bulbous","space"
"243","circular","space"
"244","concave","space"
"245","curved","space"
"246","curving","space"
"247","flat","space"
"248","gaping","space"
"249","gigantic","space"
"250","horizontal","space"
"251","huge","space"
"252","interlaced","space"
"253","jagged","space"
"254","large","space"
"255","lopsided","space"
"256","narrowing","space"
"257","patchy","space"
"258","rectangular","space"
"259","ringed","space"
"260","semicircular","space"
"261","shaped","space"
"262","slits","space"
"263","slitted","space"
"264","sloping","space"
"265","smallish","space"
"266","sunken","space"
"267","symmetrical","space"
"268","tiny","space"
"269","triangular","space"
"270","tubular","space"
"271","vast","space"
"272","webbed","space"
"273","widen","space"
"274","widened","space"
"275","widening","space"
"276","wider","space"
"277","widest","space"
"278","width","space"
"279","widths","space"
"280","wingspan","space"
"281","airspace","space"
"282","bidirectional","space"
"283","bilateralism","space"
"284","ceilinged","space"
"285","cliff","space"
"286","cloistered","space"
"287","continental","space"
"288","deepened","space"
"289","directionally","space"
"290","doublewide","space"
"291","downstage","space"
"292","exhumed","space"
"293","extrusion","space"
"294","flattened","space"
"295","floated","space"
"296","floating","space"
"297","framed","space"
"298","hectare","space"
"299","hubpoint","space"
"300","interiors","space"
"301","layed","space"
"302","megaparsec","space"
"303","milestones","space"
"304","milewide","space"
"305","moonscape","space"
"306","multilayered","space"
"307","outskirt","space"
"308","overlap","space"
"309","parallelograms","space"
"310","pushup","space"
"311","rooted","space"
"312","rotatable","space"
"313","section","space"
"314","setting","space"
"315","slanted","space"
"316","spaceflight","space"
"317","steppingstone","space"
"318","subsuming","space"
"319","tabletops","space"
"320","townscape","space"
"321","trenching","space"
"322","vicinities","space"
"323","wallmounted","space"
"324","waypoints","space"
"325","wetlands","space"
"326","aeons","time"
"327","always","time"
"328","annums","time"
"329","annums","time"
"330","autumns","time"
"331","awhile","time"
"332","awhile","time"
"333","awhile","time"
"334","ayear","time"
"335","bide","time"
"336","biding","time"
"337","breather","time"
"338","brief","time"
"339","brief","time"
"340","briefly","time"
"341","briefly","time"
"342","centuries","time"
"343","days","time"
"344","decade","time"
"345","decades","time"
"346","duration","time"
"347","duration","time"
"348","elapsed","time"
"349","eons","time"
"350","eons","time"
"351","eternity","time"
"352","expeditiously","time"
"353","expeditiously","time"
"354","fast","time"
"355","fast","time"
"356","fast","time"
"357","fiveyear","time"
"358","fiveyear","time"
"359","forever","time"
"360","forever","time"
"361","fortnight","time"
"362","generations","time"
"363","halfcentury","time"
"364","halfhour","time"
"365","hours","time"
"366","indefinitely","time"
"367","indefinitely","time"
"368","infrequently","time"
"369","infrequently","time"
"370","infrequently","time"
"371","interminable","time"
"372","interminable","time"
"373","junes","time"
"374","late","time"
"375","late","time"
"376","late","time"
"377","leisurely","time"
"378","lifetime","time"
"379","menopause","time"
"380","millenia","time"
"381","millennia","time"
"382","millenniums","time"
"383","minute","time"
"384","minute","time"
"385","minutes","time"
"386","months","time"
"387","months","time"
"388","nanoseconds","time"
"389","nanoseconds","time"
"390","newyear","time"
"391","often","time"
"392","often","time"
"393","overlong","time"
"394","overlong","time"
"395","period","time"
"396","period","time"
"397","periods","time"
"398","periods","time"
"399","progresses","time"
"400","quick","time"
"401","quick","time"
"402","quickly","time"
"403","quickly","time"
"404","quickly","time"
"405","rapidly","time"
"406","rapidly","time"
"407","retrogressive","time"
"408","retrogressive","time"
"409","second","time"
"410","seldom","time"
"411","seldom","time"
"412","septembers","time"
"413","shortly","time"
"414","shortly","time"
"415","siesta","time"
"416","slow","time"
"417","slow","time"
"418","slow","time"
"419","slowly","time"
"420","slowly","time"
"421","slowly","time"
"422","soon","time"
"423","soon","time"
"424","summers","time"
"425","tenday","time"
"426","till","time"
"427","till","time"
"428","till","time"
"429","twelvemonth","time"
"430","twelvemonth","time"
"431","umpteenth","time"
"432","umpteenth","time"
"433","unexpired","time"
"434","unexpired","time"
"435","until","time"
"436","until","time"
"437","until","time"
"438","usual","time"
"439","weeks","time"
"440","while","time"
"441","while","time"
"442","winter","time"
"443","winters","time"
"444","years","time"
"445","briefest","time"
"446","brisk","time"
"447","during","time"
"448","early","time"
"449","early","time"
"450","final","time"
"451","fiveminute","time"
"452","fleeting","time"
"453","gradual","time"
"454","hasty","time"
"455","lag","time"
"456","latency","time"
"457","millisecond","time"
"458","monotonous","time"
"459","multihour","time"
"460","protracted","time"
"461","rapid","time"
"462","slower","time"
"463","speedy","time"
"464","swift","time"
"465","usually","time"
"466","abruptly","time"
"467","again","time"
"468","eventually","time"
"469","finally","time"
"470","gradually","time"
"471","hastily","time"
"472","hurriedly","time"
"473","immediately","time"
"474","never","time"
"475","once","time"
"476","overnight","time"
"477","prematurely","time"
"478","promptly","time"
"479","someday","time"
"480","sometime","time"
"481","speedily","time"
"482","suddenly","time"
"483","swiftly","time"
"484","tardy","time"
"485","tomorrow","time"
"486","when","time"
"487","whenever","time"
"488","whenever","time"
"489","betimes","time"
"490","consecutively","time"
"491","deteriorate","time"
"492","evolutionarily","time"
"493","extant","time"
"494","honeymooner","time"
"495","inconstant","time"
"496","initiation","time"
"497","longrunning","time"
"498","mealtime","time"
"499","novembers","time"
"500","oftener","time"
"501","overnighter","time"
"502","periodic","time"
"503","polyrhythms","time"
"504","postnuptial","time"
"505","procrastination","time"
"506","promptness","time"
"507","redeveloping","time"
"508","rhythmic","time"
"509","session","time"
"510","sevenday","time"
"511","stagnating","time"
"512","synchronizing","time"
"513","tedium","time"
"514","transitional","time"
"515","twentysecond","time"
"516","weeknights","time"
"517","abbass","other"
"518","adolescently","other"
"519","adolescently","other"
"520","agonal","other"
"521","agonizing","other"
"522","all","other"
"523","alone","other"
"524","alren","other"
"525","amuck","other"
"526","anju","other"
"527","applegate","other"
"528","ardently","other"
"529","assateague","other"
"530","assateague","other"
"531","bad","other"
"532","badly","other"
"533","badly","other"
"534","bait","other"
"535","bathos","other"
"536","bba","other"
"537","believably","other"
"538","believably","other"
"539","bleak","other"
"540","bocephus","other"
"541","boniness","other"
"542","boniness","other"
"543","boring","other"
"544","boring","other"
"545","bothersome","other"
"546","bothersome","other"
"547","braiding","other"
"548","braiding","other"
"549","bright","other"
"550","bright","other"
