word,similarity, targetword,spacetime
abbass,0.24876669,long,O
adolescently,0.3027004,long,O
aeons,0.297715425,long,T
agonal,0.247941285,long,O
agonizing,0.254933178,long,O
all,0.253870547,long,O
alone,0.287369907,long,O
alren,0.280311555,long,O
always,0.253069878,long,T
amuck,0.246888533,long,O
anju,0.266273946,long,O
annums,0.460449874,long,T
applegate,0.247868076,long,O
ardently,0.260716438,long,O
assateague,0.272232622,long,O
autumns,0.274024129,long,T
awhile,0.54526484,long,T
ayear,0.324686468,long,T
bad,0.306268156,long,O
badly,0.34231329,long,O
bait,0.250449717,long,O
bathos,0.259212881,long,O
bba,0.256447941,long,O
believably,0.273418516,long,O
bide,0.257316768,long,T
biding,0.251745254,long,T
big,0.305450946,long,S
bleak,0.257199228,long,O
bocephus,0.250038773,long,O
boniness,0.256762803,long,O
boring,0.292102069,long,O
bothersome,0.267397016,long,O
braiding,0.291208267,long,O
breather,0.27298373,long,T
brief,0.371515125,long,T
briefly,0.244953007,long,T
bright,0.245709211,long,O
brittle,0.286137372,long,O
broad,0.286609113,long,S
bumpy,0.312805444,long,S
burdensome,0.280897975,long,O
bushwhacked,0.270060331,long,O
bushwhacks,0.252645165,long,O
bushy,0.328760743,long,O
busy,0.372705102,long,O
canot,0.246107027,long,O
careful,0.253121078,long,O
catchall,0.330582738,long,O
celibate,0.247260779,long,O
centuries,0.377012968,long,T
chancy,0.325275004,long,O
cheerless,0.259940237,long,O
christmases,0.32762596,long,O
cion,0.245965853,long,O
clearcut,0.263508797,long,O
clearheaded,0.289025486,long,O
clingy,0.344085306,long,O
close,0.395113051,long,B
coined,0.275373071,long,O
coining,0.318850935,long,O
cold,0.30129838,long,O
comfortably,0.274918556,long,O
commas,0.329344124,long,O
commuting,0.249537811,long,O
companionable,0.290152282,long,O
compys,0.291633397,long,O
coney,0.354829639,long,O
considerable,0.290895224,long,O
consuming,0.306761533,long,O
convenient,0.264312238,long,O
cooldown,0.279638052,long,O
costly,0.265395015,long,O
creditable,0.34764421,long,O
cumbersome,0.261537373,long,O
curly,0.248523951,long,S
dark,0.34875071,long,O
darkfriend,0.266943574,long,O
days,0.293672532,long,T
dearly,0.271120012,long,O
decade,0.345100403,long,T
decades,0.334418297,long,T
