word,similarity, targetword,spacetime
adolescently,0.287589759,short,O
ahead,0.30166477,short,B
annums,0.32943821,short,T
another,0.296780825,short,O
apart,0.296811551,short,B
awhile,0.392416716,short,T
awkward,0.313697398,short,O
ballsy,0.310420334,short,O
bashful,0.31694749,short,O
bearish,0.282890767,short,O
beginner,0.287349761,short,O
benzel,0.274348319,short,O
big,0.336542964,short,S
bladelike,0.268451571,short,O
blunt,0.316878617,short,O
bold,0.307142019,short,O
boniness,0.303433001,short,O
boring,0.348357499,short,O
bothersome,0.311282814,short,O
bouncy,0.2900379,short,O
braiding,0.274186432,short,O
brief,0.484919637,short,T
briefest,0.296779245,short,T
brisk,0.351740181,short,B
broad,0.333077967,short,S
bulky,0.318704009,short,S
bumpier,0.288551778,short,S
bumpy,0.425122172,short,S
buoyant,0.284364879,short,O
bushy,0.338228762,short,O
businesslike,0.297791839,short,O
busy,0.284240246,short,O
cantle,0.270856678,short,O
careless,0.271984667,short,O
casual,0.269059837,short,O
catchall,0.26873216,short,O
catchy,0.27848193,short,O
cautionary,0.29457438,short,O
chancy,0.335562885,short,O
cheap,0.32123214,short,O
choppy,0.296672583,short,B
circumspect,0.270109326,short,O
clearheaded,0.290229201,short,O
clever,0.310876369,short,O
climbable,0.281951249,short,O
clingy,0.361706853,short,O
close,0.328902423,short,B
clubfoot,0.276264876,short,O
clumsy,0.354807615,short,O
clunky,0.351454735,short,O
coarse,0.304792613,short,O
coincidental,0.2773211,short,O
coined,0.32305488,short,O
coining,0.343645662,short,O
commas,0.410090268,short,O
commendable,0.313685298,short,O
comparatively,0.306949824,short,O
conspicuous,0.280088484,short,O
consuming,0.28545171,short,O
continuous,0.270528942,short,B
convenient,0.287199438,short,O
cooldown,0.327143073,short,O
corny,0.285784781,short,O
costly,0.306886494,short,O
coy,0.272250473,short,O
creditable,0.455196798,short,O
cresta,0.295269668,short,O
crucial,0.269990116,short,O
cumbersome,0.339553952,short,O
curly,0.283268869,short,S
cutoff,0.30580166,short,O
dainty,0.269344777,short,O
dark,0.32285893,short,O
decent,0.280275583,short,O
decisive,0.290869087,short,O
deep,0.476052612,short,S
definite,0.35496664,short,O
delicate,0.274831861,short,O
demoralizing,0.283995926,short,O
dense,0.304062068,short,O
depressing,0.364611775,short,O
