word,similarity, targetword,spacetime
abruptly,0.450070918,soon,T
again,0.420385599,soon,T
awhile,0.336724728,soon,T
badly,0.475819916,soon,O
before,0.351975113,soon,B
bravely,0.334221274,soon,O
briefly,0.429435581,soon,T
bushed,0.338560581,soon,O
busy,0.337953985,soon,O
carefully,0.332239866,soon,O
cheerfully,0.358661473,soon,O
close,0.44704181,soon,B
dwindle,0.375522196,soon,B
eagerly,0.486964107,soon,O
early,0.396598518,soon,T
easily,0.511629105,soon,O
eventually,0.578446686,soon,T
excited,0.336916566,soon,O
expeditiously,0.431693465,soon,T
falter,0.349756896,soon,O
far,0.514586568,soon,B
fast,0.557993531,soon,B
finally,0.465388119,soon,T
forever,0.353526771,soon,T
formally,0.324307799,soon,O
glad,0.381924599,soon,O
gladly,0.333518445,soon,O
gradually,0.461831152,soon,T
happily,0.394816697,soon,O
hastily,0.383117437,soon,T
hopefully,0.386178464,soon,O
hurriedly,0.389635861,soon,T
if,0.362975657,soon,O
ifit,0.33431831,soon,O
immediately,0.465483934,soon,T
inasmuch,0.392307788,soon,O
indefinitely,0.325815797,soon,T
inevitably,0.345419347,soon,O
infrequently,0.359749943,soon,T
innocently,0.390686423,soon,O
ishbeal,0.400318027,soon,O
late,0.477872163,soon,T
liberators,0.426714063,soon,O
long,0.464603961,soon,B
lucky,0.336849123,soon,O
magically,0.33423546,soon,O
mairin,0.371286988,soon,O
miraculously,0.33826071,soon,O
much,0.42963165,soon,B
mysteriously,0.368920922,soon,O
naturally,0.361545593,soon,O
never,0.339692175,soon,T
nianhua,0.379703939,soon,O
nicely,0.371602714,soon,O
officially,0.34038794,soon,O
often,0.369419575,soon,T
once,0.373871863,soon,T
overnight,0.364058197,soon,T
prematurely,0.327875823,soon,T
progresses,0.344540298,soon,B
promisingly,0.324665725,soon,O
promptly,0.439233422,soon,T
quickly,0.737778068,soon,B
quietly,0.41430068,soon,O
rapidly,0.504261196,soon,B
readily,0.370509684,soon,O
reclassified,0.360691935,soon,O
relent,0.345977336,soon,O
reluctantly,0.430372417,soon,O
repatriated,0.32563284,soon,O
result,0.335882068,soon,O
safely,0.467008263,soon,O
shortly,0.594197273,soon,T
slow,0.349394143,soon,B
slowly,0.462604761,soon,B
smoothly,0.400771081,soon,O
someday,0.387632608,soon,T
sometime,0.347796977,soon,T
speedily,0.467500985,soon,B
stoically,0.335923553,soon,O
subside,0.329702377,soon,B
suddenly,0.367095262,soon,T
surely,0.339587927,soon,O
swiftly,0.504502892,soon,B
tardy,0.348022312,soon,T
thaw,0.326203704,soon,O
then,0.442610204,soon,B
thestrals,0.329093695,soon,O
till,0.380933881,soon,T
tomorrow,0.365220159,soon,T
uneventful,0.337543368,soon,O
unharmed,0.447344601,soon,O
unscathed,0.375332296,soon,O
until,0.410678595,soon,T
usual,0.382449567,soon,T
well,0.414849848,soon,O
weu,0.442015827,soon,O
when,0.415874779,soon,T
whenever,0.372481048,soon,T
wither,0.339106292,soon,O
