word,distance,targetword,spacetime
short,0.7229601740837097,long,both
tall,0.5023115873336792,long,other
loose,0.4922999143600464,long,both
much,0.4860527515411377,long,both
easily,0.484099805355072,long,other
strong,0.4756004810333252,long,other
lovely,0.47057396173477173,long,other
small,0.46990108489990234,long,space
thick,0.46967804431915283,long,space
rough,0.468831330537796,long,other
sturdy,0.46882736682891846,long,other
far,0.4658331573009491,long,both
sharp,0.46297162771224976,long,other
large,0.46190571784973145,long,space
flat,0.455901563167572,long,space
fast,0.4513387978076935,long,both
late,0.4500928223133087,long,time
upon,0.4412538409233093,long,both
thin,0.4372531771659851,long,space
bumpy,0.4351198077201843,long,space
hard,0.4350329637527466,long,other
quite,0.43371301889419556,long,other
tough,0.4323122203350067,long,other
every,0.42591536045074463,long,other
huge,0.4258090853691101,long,space
bad,0.42548877000808716,long,other
final,0.4228058457374573,long,time
wonderful,0.4173472821712494,long,other
tight,0.41499772667884827,long,both
sore,0.4120813310146332,long,other
nap,0.4088030755519867,long,both
difficult,0.4081015884876251,long,other
dark,0.4068925380706787,long,other
rude,0.40601709485054016,long,other
exciting,0.4041634500026703,long,other
big,0.4037427306175232,long,space
usual,0.40254849195480347,long,time
disguised,0.4024277925491333,long,other
leafy,0.3980799913406372,long,other
busy,0.39802539348602295,long,both
easy,0.39787811040878296,long,other
flu,0.39707762002944946,long,other
brave,0.39627498388290405,long,other
term,0.3951754570007324,long,time
heavy,0.39158105850219727,long,other
curly,0.39048200845718384,long,space
sunny,0.3864308297634125,long,other
lessons,0.3864033818244934,long,other
celebration,0.38572514057159424,long,other
longest,0.38464832305908203,long,both
awhile,0.3835284411907196,long,time
crowded,0.3833996057510376,long,other
beautiful,0.3798155188560486,long,other
wide,0.37831324338912964,long,space
many,0.3778109550476074,long,both
bright,0.3766861855983734,long,other
comfortable,0.3750867247581482,long,other
fancy,0.3720467686653137,long,other
high,0.3712221682071686,long,space
known,0.37085819244384766,long,other
healthy,0.3690614700317383,long,other
badly,0.3681443929672241,long,other
planned,0.3681088387966156,long,other
expensive,0.36785221099853516,long,other
noisy,0.36680009961128235,long,other
machrauchenia,0.366718053817749,long,other
responsibility,0.3660150170326233,long,other
colorful,0.3651682734489441,long,other
deep,0.36504217982292175,long,space
feathery,0.36449819803237915,long,other
paddington,0.3633008599281311,long,other
mammoth,0.3627828061580658,long,space
skinny,0.36235395073890686,long,space
strange,0.3582710027694702,long,other
spent,0.35764312744140625,long,other
quiet,0.3573908805847168,long,other
ache,0.3557587265968323,long,other
pascal,0.3553816080093384,long,other
since,0.3546200096607208,long,other
third,0.3515997529029846,long,both
curved,0.35147175192832947,long,space
old,0.35124945640563965,long,other
twice,0.3510369062423706,long,time
narrow,0.35081490874290466,long,both
stomachache,0.3485168516635895,long,other
carefully,0.3477369546890259,long,other
