word,id,spacetime,comment,comparisonword,distance
short,750,both,,long,0.416
wide,980,space,,long,0.587
just,423,other,,long,0.589
brief,99,time,,long,0.627
longest,469,both,,long,0.63
longer,468,both,,long,0.635
periods,602,time,,long,0.637
much,530,both,,long,0.649
shorter,751,both,,long,0.657
length,448,both,,long,0.674
only,570,other,,long,0.674
about,3,both,,long,0.678
lengthy,450,both,,long,0.68
far,299,both,,long,0.684
well,963,other,,long,0.684
close,133,both,,long,0.686
generally,340,other,,long,0.688
before,75,time,,long,0.69
over,582,space,,long,0.691
whole,978,other,,long,0.691
broad,102,space,,long,0.694
decades,206,time,,long,0.701
while,976,time,,long,0.701
few,303,other,,long,0.703
thirty,872,other,,long,0.703
forty,324,other,,long,0.71
great,354,other,,long,0.711
gone,349,both,,long,0.714
years,996,time,,long,0.714
continuing,174,time,,long,0.715
apparently,44,other,,long,0.719
full,331,space,,long,0.72
during,242,time,,long,0.721
several,743,other,,long,0.721
narrow,535,space,,long,0.722
entire,272,other,,long,0.724
of,562,other,,long,0.724
single,766,other,,long,0.724
also,29,other,,long,0.726
it,419,other,,long,0.726
approximately,47,other,,long,0.734
prolonged,636,time,,long,0.734
but,104,other,,long,0.735
good,350,other,,long,0.736
already,28,time,,long,0.737
hour,390,time,,long,0.737
this,873,other,,long,0.737
out,580,space,,long,0.738
usually,935,time,,long,0.738
each,245,other,,long,0.74
late,438,time,,long,0.74
keeping,425,other,,long,0.742
many,485,other,,long,0.742
some,779,other,,long,0.743
throughout,882,other,,long,0.743
lasting,437,time,,long,0.744
since,765,time,,long,0.744
span,788,space,,long,0.744
complete,149,other,,long,0.745
though,875,other,,long,0.745
had,358,other,,long,0.746
large,433,space,,long,0.746
little,464,other,,long,0.747
typically,919,other,,long,0.747
practice,622,other,,long,0.748
hours,391,time,,long,0.749
been,74,time,,long,0.75
course,183,time,,long,0.75
minutes,519,time,,long,0.75
occasionally,561,time,,long,0.751
traditional,899,time,,long,0.751
simple,763,other,,long,0.752
except,283,other,,long,0.753
often,565,time,,long,0.753
same,710,other,,long,0.753
straight,809,other,,long,0.753
whereas,973,other,,long,0.754
duration,241,time,,long,0.757
months,525,time,,long,0.757
own,584,other,,long,0.757
similar,761,other,,long,0.757
within,984,space,,long,0.757
