word,distance,targetword,spacetime
long,0.7229601144790649,short,both
thin,0.6881375312805176,short,space
bumpy,0.6812089681625366,short,space
thick,0.6767392158508301,short,space
curly,0.6674474477767944,short,space
rough,0.6428812742233276,short,other
large,0.6397316455841064,short,space
strong,0.6381056308746338,short,other
small,0.6300978064537048,short,space
loose,0.6154272556304932,short,both
huge,0.612221360206604,short,space
heavy,0.6067490577697754,short,other
skinny,0.6035109758377075,short,space
tall,0.6027363538742065,short,other
sharp,0.6010603904724121,short,other
stout,0.5900277495384216,short,other
feathery,0.5897901654243469,short,other
tough,0.586493730545044,short,other
leafy,0.5693599581718445,short,other
sturdy,0.5691811442375183,short,other
low,0.5678874254226685,short,space
wobbly,0.5639283061027527,short,both
lovely,0.562207818031311,short,other
flat,0.5457514524459839,short,space
crooked,0.5451396703720093,short,other
sore,0.5423996448516846,short,other
fleece,0.5308248996734619,short,other
lumpy,0.5289202928543091,short,space
stiff,0.5233445167541504,short,other
furry,0.5120603442192078,short,other
tight,0.511278510093689,short,both
soft,0.5082559585571289,short,other
brave,0.5058143138885498,short,other
fancy,0.5014364719390869,short,other
big,0.5000845193862915,short,space
messy,0.49994000792503357,short,other
tiny,0.4940762519836426,short,space
curved,0.4913838803768158,short,space
grumpy,0.48996010422706604,short,other
bright,0.48973023891448975,short,other
sunny,0.48860612511634827,short,other
noisy,0.4874122738838196,short,other
wooly,0.48541897535324097,short,other
simple,0.48448270559310913,short,other
fat,0.48237839341163635,short,space
ugly,0.47999992966651917,short,other
bull,0.47847872972488403,short,other
young,0.47844254970550537,short,time
blonde,0.47654765844345093,short,other
difficult,0.4748263359069824,short,other
crowded,0.47463566064834595,short,other
machrauchenia,0.47363871335983276,short,other
wrinkly,0.47350937128067017,short,other
claws,0.4718274772167206,short,other
comfortable,0.4716099202632904,short,other
fluffy,0.4714895486831665,short,other
expensive,0.4711781442165375,short,other
patchy,0.470808744430542,short,space
bitty,0.4693547785282135,short,space
pain,0.4692603051662445,short,other
chubby,0.46681633591651917,short,other
old,0.4661094546318054,short,other
traditional,0.4653361737728119,short,other
tricky,0.4629075229167938,short,other
smaller,0.4624837040901184,short,other
flight,0.4618953764438629,short,both
bad,0.46160268783569336,short,other
sneaky,0.4610758423805237,short,other
smooth,0.4595978260040283,short,space
twisty,0.4552919864654541,short,both
healthy,0.4545321464538574,short,other
frightened,0.4519956111907959,short,other
beady,0.45138001441955566,short,other
narrow,0.45136570930480957,short,both
truly,0.44874218106269836,short,other
strange,0.44751518964767456,short,other
slippery,0.44693702459335327,short,other
pigeon,0.44657811522483826,short,other
wiggly,0.44494640827178955,short,other
crabby,0.44457370042800903,short,other
weak,0.44448384642601013,short,other
deep,0.4442843496799469,short,space
holy,0.4438939392566681,short,other
colorful,0.4437110424041748,short,other
range,0.4434557259082794,short,other
tightly,0.4419323801994324,short,space
excitable,0.4398365616798401,short,other
baby_mickey,0.43902280926704407,short,other
beautiful,0.4376946687698364,short,other
fingernails,0.4374656081199646,short,other
cool,0.4366835951805115,short,other
hers,0.43388134241104126,short,other
hard,0.43314722180366516,short,other
usual,0.4330674409866333,short,time
longest,0.43294578790664673,short,both
dangerous,0.4326809346675873,short,other
easily,0.4317110478878021,short,other
horrible,0.431706041097641,short,other
lazy,0.4304335415363312,short,other
late,0.4295523166656494,short,time
frustrating,0.42940449714660645,short,other
mammoth,0.42916154861450195,short,space
