word,distance,targetword,spacetime
quickly,0.629158616065979,soon,both
fast,0.5704054236412048,soon,both
otherwise,0.5288757085800171,soon,other
late,0.5272642374038696,soon,time
early,0.5137453079223633,soon,time
easily,0.5111719369888306,soon,other
tomorrow,0.50452721118927,soon,time
slowly,0.46518999338150024,soon,both
far,0.44389888644218445,soon,both
someday,0.442568302154541,soon,time
until,0.44002124667167664,soon,time
badly,0.4400055706501007,soon,other
tonight,0.4395514130592346,soon,time
after,0.43153417110443115,soon,time
busy,0.4285794198513031,soon,both
as_soon_as,0.4258900284767151,soon,time
quick,0.4189254641532898,soon,both
excitable,0.4166494309902191,soon,other
usual,0.4156285226345062,soon,time
healthy,0.41043543815612793,soon,other
warm,0.40210920572280884,soon,other
sometime,0.3983014225959778,soon,time
nicely,0.39446979761123657,soon,other
dressed,0.3938278555870056,soon,other
excited,0.39194154739379883,soon,other
spring,0.3903137445449829,soon,time
carefully,0.3867362141609192,soon,other
expensive,0.3864065408706665,soon,other
next,0.3861084580421448,soon,both
forever,0.3802089989185333,soon,time
hopefully,0.37844234704971313,soon,other
quietly,0.37712645530700684,soon,other
when,0.3701748251914978,soon,time
cool,0.3698045611381531,soon,other
proud,0.36917030811309814,soon,other
slow,0.36724740266799927,soon,both
talkative,0.3638596534729004,soon,other
quiet,0.36214569211006165,soon,other
opposed,0.36156606674194336,soon,other
till,0.3556869626045227,soon,time
everyone,0.3552900552749634,soon,other
undressed,0.35372036695480347,soon,other
finally,0.34649503231048584,soon,time
home,0.34422576427459717,soon,other
dry,0.3425160348415375,soon,other
pleased,0.3384110629558563,soon,other
softly,0.33741331100463867,soon,other
upset,0.33435481786727905,soon,other
disguised,0.33038681745529175,soon,other
windy,0.3285110592842102,soon,other
then,0.32809847593307495,soon,time
cozy,0.3278551399707794,soon,other
angry,0.3275546729564667,soon,other
strong,0.3269151747226715,soon,other
clever,0.3262866735458374,soon,other
shortly,0.324217826128006,soon,time
cowgirl,0.32379597425460815,soon,other
annoyed,0.3224657475948334,soon,other
untill,0.3198593854904175,soon,other
agreeable,0.3189656436443329,soon,other
before,0.3187897503376007,soon,both
tightly,0.3186221718788147,soon,space
helpful,0.318272203207016,soon,other
lonely,0.3175363540649414,soon,other
during,0.3133828043937683,soon,time
sick,0.31291523575782776,soon,other
hassle,0.31266528367996216,soon,other
downstairs,0.3111637830734253,soon,space
later,0.31000804901123047,soon,time
close,0.3094617426395416,soon,both
high,0.3083910346031189,soon,space
marcella,0.30777600407600403,soon,other
afterwards,0.30648529529571533,soon,time
safe,0.30613163113594055,soon,other
useful,0.30584418773651123,soon,other
married,0.30566954612731934,soon,other
trained,0.30519846081733704,soon,other
and,0.30463695526123047,soon,other
long,0.304580956697464,soon,both
simple,0.3044126033782959,soon,other
today,0.30425453186035156,soon,time
upstairs,0.30319744348526,soon,space
sunday,0.30312788486480713,soon,time
tight,0.30267804861068726,soon,both
cradle,0.3026251792907715,soon,other
glad,0.30136895179748535,soon,other
consistent,0.3005605936050415,soon,other
suddenly,0.2993205189704895,soon,time
sunny,0.2973088026046753,soon,other
serious,0.2966209352016449,soon,other
everybody,0.29657500982284546,soon,other
anyway,0.29612231254577637,soon,other
strangest,0.29435479640960693,soon,other
celebrate,0.29412487149238586,soon,other
known,0.2933630347251892,soon,other
along,0.29335397481918335,soon,both
shouted,0.292906254529953,soon,other
well,0.2916856110095978,soon,other
hurry,0.2908425033092499,soon,both
lucky,0.290817528963089,soon,other
