word,distance,targetword,spacetime
narrow,0.6398061513900757,wide,both
large,0.6153038144111633,wide,space
flowing,0.6106486320495605,wide,other
deep,0.605224609375,wide,space
huge,0.5816614627838135,wide,space
windows,0.5608065724372864,wide,other
branches,0.5598353743553162,wide,other
low,0.5419651865959167,wide,space
beyond,0.5374316573143005,wide,other
gate,0.5327297449111938,wide,other
burst,0.5319870710372925,wide,other
bright,0.5311557650566101,wide,other
flaps,0.5274831056594849,wide,other
doors,0.5252361297607422,wide,other
blinds,0.5200728178024292,wide,other
breeze,0.5163373947143555,wide,other
giant,0.5061720013618469,wide,space
dark,0.5030699968338013,wide,other
lumpy,0.49995046854019165,wide,space
thin,0.49792179465293884,wide,space
tall,0.4884646236896515,wide,other
thick,0.48624110221862793,wide,space
cloud,0.4844878315925598,wide,other
relative,0.48086994886398315,wide,other
strong,0.47946467995643616,wide,other
pan,0.47787004709243774,wide,other
muck,0.47737088799476624,wide,other
skinny,0.47497862577438354,wide,space
forest,0.47101151943206787,wide,other
piled,0.4702644348144531,wide,other
bumpy,0.46756887435913086,wide,space
african,0.4672669470310211,wide,other
fields,0.46713799238204956,wide,other
slowly,0.4662374258041382,wide,both
small,0.4652143120765686,wide,space
stretched,0.46396198868751526,wide,other
hole,0.46222299337387085,wide,space
sleigh,0.46207714080810547,wide,other
strings,0.4605013132095337,wide,other
pipe,0.4594900608062744,wide,other
dub,0.457156240940094,wide,other
slot,0.45640993118286133,wide,both
waves,0.4551846981048584,wide,other
metal,0.45490410923957825,wide,other
suddenly,0.4548508822917938,wide,time
sturdy,0.4534720182418823,wide,other
cages,0.4514999985694885,wide,other
starry,0.4496022164821625,wide,other
trunks,0.4481480121612549,wide,other
dust,0.44709503650665283,wide,other
closes,0.4467688202857971,wide,both
drawer,0.44621992111206055,wide,other
sharp,0.44598835706710815,wide,other
stretch,0.44474750757217407,wide,both
power,0.4442545771598816,wide,other
opened,0.44394129514694214,wide,both
air,0.4426504373550415,wide,other
cabinet,0.44140371680259705,wide,other
world,0.4411531984806061,wide,space
holes,0.44010499119758606,wide,space
fountain,0.4390755891799927,wide,other
seas,0.43898993730545044,wide,other
nepal,0.43776100873947144,wide,other
high,0.4357597827911377,wide,space
knot,0.4346507489681244,wide,other
mouths,0.43459439277648926,wide,other
quickly,0.43432319164276123,wide,both
snowy,0.43416857719421387,wide,other
mountains,0.43392419815063477,wide,other
hopped,0.4334118664264679,wide,both
center,0.4331907331943512,wide,space
hallway,0.4321190118789673,wide,other
closed,0.43186983466148376,wide,both
stalks,0.43046408891677856,wide,both
diamond,0.42987507581710815,wide,other
tightly,0.42953574657440186,wide,space
flat,0.4286321997642517,wide,space
steep,0.42755478620529175,wide,space
parrots,0.4262620508670807,wide,other
clearing,0.4246733486652374,wide,space
sky,0.42420244216918945,wide,space
crashed,0.4231921136379242,wide,other
cupboard,0.4230715036392212,wide,other
inches,0.42244574427604675,wide,other
flap,0.42192959785461426,wide,other
bin,0.4214838147163391,wide,other
brick,0.42084944248199463,wide,other
nearest,0.4185252785682678,wide,both
rows,0.41653409600257874,wide,space
thread,0.41638875007629395,wide,other
smooth,0.41375309228897095,wide,space
atmosphere,0.41367533802986145,wide,other
woods,0.4130019247531891,wide,other
short,0.4127730131149292,wide,both
swamps,0.41187170147895813,wide,other
its,0.41179007291793823,wide,other
noses,0.4116668701171875,wide,other
feathery,0.41123783588409424,wide,other
eyes,0.41099458932876587,wide,other
stone,0.40942901372909546,wide,other
