word,id,spacetime,comment,comparisonword,distance
about,36,o,,,0.725
academic,72,o,,,0.76
acceptance,90,o,,,0.769
across,10,b,,,0.62
advent,76,o,,,0.763
anywhere,96,s,,,0.772
applications,42,o,,,0.733
around,37,b,,,0.727
array,38,s,,,0.727
basic,66,o,,,0.755
beyond,16,b,,,0.669
broad,1,s,,,0.431
broader,24,s,,,0.692
capable,67,o,,,0.758
careful,73,o,,,0.76
certain,54,o,,,0.741
close,91,b,,,0.769
commercial,34,o,,,0.722
comparable,68,o,,,0.758
concrete,87,o,,,0.768
considerable,39,o,,,0.729
consortium,49,o,,,0.74
covered,100,o,,,0.773
covering,60,o,,,0.748
deep,40,s,,,0.732
depth,83,s,,,0.768
different,71,o,,,0.759
diverse,17,o,,,0.669
diversity,43,o,,,0.733
extensive,92,b,,,0.77
few,70,b,,,0.759
formats,93,o,,,0.771
full,88,b,,,0.769
greater,95,b,,,0.772
growing,77,o,,,0.764
high,30,s,,,0.71
huge,9,s,,,0.609
large,8,s,,,0.601
larger,62,s,,,0.751
limited,20,b,,,0.683
long,5,b,,,0.587
low,32,s,,,0.716
magazines,52,o,,,0.741
managing,55,o,,,0.743
many,75,b,,,0.763
maximum,46,o,,,0.736
medium,85,s,,,0.768
much,51,b,,,0.74
multi,27,o,,,0.707
multiple,53,b,,,0.741
narrow,7,s,,,0.598
nearly,80,b,,,0.765
network,82,o,,,0.767
numerous,65,b,,,0.755
outside,44,b,,,0.735
over,14,b,,,0.659
popular,47,o,,,0.736
practical,56,o,,,0.744
range,4,b,,,0.544
ranging,6,o,,,0.595
reasonable,50,o,,,0.74
receivers,98,o,,,0.773
running,69,o,,,0.759
scope,26,o,,,0.707
several,86,o,,,0.768
shapes,78,s,,,0.765
significant,45,o,,,0.736
simple,63,o,,,0.751
small,22,s,,,0.685
some,99,o,,,0.773
specialized,23,o,,,0.688
specific,59,o,,,0.747
spectrum,21,o,,,0.684
spread,28,b,,,0.708
standardized,81,o,,,0.767
substantial,11,o,,,0.636
suitable,94,o,,,0.772
through,29,b,,,0.71
throughout,58,b,,,0.746
tight,31,b,,,0.712
tiny,41,s,,,0.732
tool,79,o,,,0.765
tremendous,25,s,,,0.696
typical,18,o,,,0.671
typically,74,o,,,0.762
useful,84,o,,,0.768
varied,35,o,,,0.724
variety,3,o,,,0.505
various,33,o,,,0.718
varying,48,o,,,0.738
vast,12,s,,,0.644
very,89,o,,,0.769
web,13,o,,,0.653
western,57,s,,,0.745
whole,61,b,,,0.748
widely,97,o,,,0.772
wider,2,s,,,0.489
widespread,19,s,,,0.682
within,64,b,,,0.752
worldwide,15,s,,,0.662
