word,id,neighborto,spacetime,comment,comparisonword,distance
a,1,short,o,,short,0.827
aa,2,short,o,,short,0.852
abbreviated,3,short,o,,short,0.835
absence,4,short,o,,short,0.883
absent,5,short,o,,short,0.859
acclaimed,6,short,o,,short,0.866
account,7,short,o,,short,0.877
action,8,short,o,,short,0.865
actually,9,short,o,,short,0.817
adaptation,10,short,o,,short,0.882
adaptations,11,short,o,,short,0.868
adapted,12,short,o,,short,0.851
adult,13,short,o,,short,0.861
adventure,14,short,o,,short,0.887
after,15,short,b,?,short,0.829
again,16,short,t,,short,0.81
allegedly,17,short,o,,short,0.887
allows,18,short,o,,short,0.871
alongside,19,short,b,?,short,0.815
also,20,short,o,,short,0.816
alternate,21,short,o,,short,0.83
alternative,22,short,o,,short,0.83
although,23,short,o,,short,0.844
an,24,short,o,,short,0.849
and,25,short,o,,short,0.828
andrews,26,short,o,,short,0.881
animated,27,short,o,,short,0.804
animation,28,short,o,,short,0.87
anime,29,short,o,,short,0.884
another,30,short,o,,short,0.786
anthology,31,short,o,,short,0.861
anyway,32,short,o,,short,0.872
apart,33,short,b,,short,0.861
apparently,34,short,o,,short,0.746
appeared,35,short,o,,short,0.885
appearing,36,short,o,,short,0.856
appears,37,short,o,,short,0.83
applies,38,short,o,,short,0.883
archaic,39,short,o,,short,0.867
arranged,40,short,b,?,short,0.814
articles,41,short,o,,short,0.863
artists,42,short,o,,short,0.888
as,43,short,o,,short,0.85
ascension,44,short,b,,short,0.879
at,45,short,b,,short,0.769
authors,46,short,o,,short,0.861
autobiography,47,short,o,,short,0.872
b,48,short,o,,short,0.782
back,49,short,b,,short,0.875
background,50,short,s,,short,0.878
bad,51,short,o,,short,0.816
band,52,short,o,,short,0.832
bands,53,short,o,,short,0.855
bare,54,short,o,,short,0.824
barry,55,short,o,,short,0.865
based,56,short,o,,short,0.833
basic,57,short,o,,short,0.851
basically,58,short,o,,short,0.884
basis,59,short,o,,short,0.88
battery,60,short,o,,short,0.883
bbc,61,short,o,,short,0.874
be,62,short,o,,short,0.813
beautiful,63,short,o,,short,0.856
because,64,short,o,,short,0.843
becomes,65,short,t,?,short,0.89
bed,66,short,o,,short,0.877
before,67,short,b,,short,0.783
beginning,68,short,t,,short,0.836
being,69,short,o,,short,0.877
below,70,short,s,,short,0.89
best,71,short,o,,short,0.83
between,72,short,b,,short,0.874
beyond,73,short,s,?,short,0.881
big,74,short,s,,short,0.799
biography,75,short,o,,short,0.831
black,76,short,o,,short,0.805
blank,77,short,o,,short,0.852
bloody,78,short,o,,short,0.887
bond,79,short,o,,short,0.848
book,80,short,o,,short,0.788
books,81,short,o,,short,0.848
